,precio,ubicacion,detalles
150,$ 7.800.000/mes,"Bogotá, Bogotá","3 habitaciones, 5 baños, 183 m²"
151,$ 7.000.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 6 baños, 380 m²"
152,$ 6.200.000/mes,"Bogotá, Bogotá","4 habitaciones, 4,5 baños, 170 m²"
153,$ 7.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 5 baños, 350 m²"
154,$ 4.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 89 m²"
155,$ 6.200.000/mes,"Bogotá, D.C., Bogotá, D.C.","4 habitaciones, 5 baños, 181 m²"
156,$ 4.000.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 84 m²"
157,$ 4.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 130 m²"
158,$ 5.500.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 120 m²"
159,$ 4.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 3 baños, 170 m²"
160,$ 12.000.000/mes,"Bogotá D.C., Chapinero","3 habitaciones, 3 baños, 138 m²"
161,$ 5.400.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 115 m²"
162,$ 5.300.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 70 m²"
163,$ 4.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 79 m²"
164,$ 7.200.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 120 m²"
165,$ 8.160.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 4 baños, 260 m²"
166,$ 7.000.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 4,5 baños, 185 m²"
167,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 4,5 baños, 165 m²"
168,$ 14.000.000/mes,"Bogotá, D.C., Bogotá","8 habitaciones, 700 m²"
169,$ 8.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 4,5 baños, 500 m²"
170,$ 3.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 83 m²"
171,$ 1.200.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 51 m²"
172,$ 5.800.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4,5 baños, 3.040 m²"
173,$ 20.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4 baños, 167 m²"
174,$ 12.500.000/mes,"Bogotá, Bogotá","4 habitaciones, 4 baños, 300 m²"
175,$ 4.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 2,5 baños, 154 m²"
176,$ 4.800.000/mes,"Bogotá, Bogotá","2 habitaciones, 2,5 baños, 117 m²"
177,$ 4.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 2,5 baños, 139 m²"
178,$ 20.000.000/mes,"Bogotá, Bogotá","7 habitaciones, 9 baños, 2.100 m²"
179,$ 3.500.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 26 m²"
180,$ 13.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 209 m²"
181,$ 4.700.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 163 m²"
182,$ 1.700.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1 baño, 42 m²"
183,$ 2.200.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 27 m²"
184,$ 2.100.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 27 m²"
185,$ 7.500.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 120 m²"
186,$ 12.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 4 baños, 304 m²"
187,$ 3.800.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 31 m²"
188,$ 5.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 90 m²"
189,$ 12.000.000/mes,"Bogotá, Bogotá","5 habitaciones, 6 baños, 340 m²"
190,$ 6.800.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4,5 baños, 213 m²"
191,$ 10.990.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4 baños, 234 m²"
192,$ 9.999.000/mes,"Bogotá, D.C., Bogotá","6 habitaciones, 5 baños, 398 m²"
193,$ 2.500.000/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 60 m²"
194,$ 4.800.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 2 baños, 113 m²"
195,$ 3.500.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 78 m²"
196,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 155 m²"
197,$ 4.300.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 60 m²"
198,$ 2.500.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 40 m²"
199,$ 4.600.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños"
200,$ 10.500.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 141 m²"
201,$ 11.000.000/mes,"Bogotá, Suba","3 habitaciones, 4 baños, 278 m²"
202,$ 15.000.000/mes,"Bogotá, D.C., Bogotá, D.C.","4 habitaciones, 6 baños, 500 m²"
203,$ 4.606.193/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 68 m²"
204,$ 4.978.000/mes,"Bogotá, Bogotá","3 habitaciones, 4 baños, 121 m²"
205,$ 3.800.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 103 m²"
206,$ 4.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 2 baños, 105 m²"
207,$ 3.596.000/mes,"Bogotá, Bogotá","4 habitaciones, 5 baños, 211 m²"
208,$ 4.000.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1 baño, 96 m²"
209,$ 1.980.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
210,$ 1.915.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 2 baños, 45 m²"
211,$ 5.800.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 3,5 baños, 194 m²"
212,$ 308.803.000/mes,"Bogotá, Bogotá",4.609 m²
213,$ 1.800.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
214,$ 25.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 5 baños, 288 m²"
215,$ 21.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 5 baños, 288 m²"
216,$ 12.980.000/mes,"Bogotá, D.C., Bogotá, D.C.","5 habitaciones, 6 baños, 350 m²"
217,$ 48.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 5 baños"
218,$ 18.000.000/mes,"Bogotá, Bogotá","2 habitaciones, 210 m²"
219,$ 4.487.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 110 m²"
220,$ 19.800.000/mes,"Bogotá, Bogotá","4 habitaciones, 5 baños, 240 m²"
221,$ 13.000.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 157 m²"
222,$ 8.710.000/mes,"Bogotá D.C., Chapinero","3 habitaciones, 3 baños, 174 m²"
223,$ 7.500.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 3 baños, 230 m²"
224,$ 18.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4 baños, 213 m²"
225,$ 8.500.000/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 84 m²"
226,$ 4.000.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1,5 baños, 66 m²"
227,$ 12.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 5 baños, 1.475 m²"
228,$ 9.500.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 2 baños, 98 m²"
229,$ 12.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 174 m²"
230,$ 8.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 177 m²"
231,$ 5.312.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 145 m²"
232,$ 25.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 6 baños, 360 m²"
233,$ 10.500.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 4 baños, 264 m²"
234,$ 12.500.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 4,5 baños, 264 m²"
235,$ 18.100.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 3 baños, 265 m²"
236,$ 4.100.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 2 baños, 95 m²"
237,$ 5.400.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños"
238,$ 32.000.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 6 baños, 780 m²"
239,$ 11.000.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 6 baños, 225 m²"
240,$ 9.500.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 178 m²"
241,$ 3.400.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 84 m²"
242,$ 3.200.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 85 m²"
243,$ 8.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 197 m²"
244,$ 6.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 3 baños, 210 m²"
245,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 5 baños, 356 m²"
246,$ 2.500.000/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 67 m²"
247,$ 11.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 258 m²"
248,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 2 baños, 349 m²"
249,$ 3.200.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 64 m²"
250,$ 7.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 150 m²"
251,$ 12.000.000/mes,"Bogotá, Bogotá","5 habitaciones, 4 baños, 225 m²"
252,$ 5.700.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 120 m²"
253,$ 1.814.651/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 70 m²"
254,$ 2.500.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 42 m²"
255,$ 2.980.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 63 m²"
256,$ 14.000.000/mes,"Bogotá, D.C., Bogotá","6 habitaciones, 5 baños, 450 m²"
257,$ 4.900.000/mes,"Bogotá, Bogotá","2 habitaciones, 3,5 baños, 160 m²"
258,$ 6.000.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 94 m²"
259,$ 28.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 3 baños, 401 m²"
260,$ 2.200.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 2 baños, 57 m²"
261,$ 5.000.000/mes,"Bogotá, Bogotá","10 habitaciones, 3 baños, 160 m²"
262,$ 16.500.000/mes,"Bogotá, Bogotá","3 habitaciones, 4 baños, 220 m²"
263,$ 2.800.000/mes,"Bogotá, Bogotá","2 habitaciones, 3 baños"
264,$ 1.500.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 42 m²"
265,$ 7.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 3 baños, 578 m²"
266,$ 4.637.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 107 m²"
267,$ 1.200.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1,5 baños, 100 m²"
268,$ 13.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 4 baños, 448 m²"
269,$ 4.300.000/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 63 m²"
270,$ 3.650.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 4,5 baños, 120 m²"
271,$ 4.000.000/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 50 m²"
272,$ 2.100.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 61 m²"
273,$ 3.250.000/mes,"Bogotá, Bogotá","1 habitación, 2,5 baños, 50 m²"
274,$ 16.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 4 baños, 229 m²"
275,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4 baños, 330 m²"
276,$ 1.400.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 53 m²"
277,$ 2.437.113/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 59 m²"
278,$ 1.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 33 m²"
279,$ 2.200.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 31 m²"
280,$ 2.600.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 45 m²"
281,$ 1.114.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1 baño, 36 m²"
282,$ 3.288.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 132 m²"
283,$ 18.025.000/mes,"Bogotá, Bogotá","5 habitaciones, 5 baños, 520 m²"
284,$ 1.842.679/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 33 m²"
285,$ 3.600.000/mes,"Bogotá, Bogotá","3 habitaciones, 2,5 baños, 157 m²"
286,$ 1.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 1 baño, 65 m²"
287,$ 2.200.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 27 m²"
288,$ 10.500.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 4,5 baños, 383 m²"
289,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 90 m²"
290,$ 23.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3,5 baños, 289 m²"
291,$ 25.450.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3,5 baños, 269 m²"
292,$ 5.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 80 m²"
293,$ 3.000.000/mes,"Bogotá, D.C., Bogotá, D.C.","1 habitación, 1 baño, 46 m²"
294,$ 6.200.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 160 m²"
295,$ 1.550.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 28 m²"
296,$ 1.450.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 27 m²"
297,$ 4.600.000/mes,"Bogotá, D.C., Bogotá, D.C.","3 habitaciones, 3,5 baños, 126 m²"
